"","SRR13836064","SRR13836061","SRR13836096","SRR13836086","SRR13836068","SRR13836072","SRR13836094","SRR13836071","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147"
"Clostridium_sp_AF36_4",0.0114557932760618,0.00021025321066703,0,0,0.00755509222230129,0,0,0.0080563771412485,0.000143298916310875,0,0.0166633184552401,0,0.0144164591564946,0,0,0.0541179456485495,0.00433253546176545
"Oscillospiraceae_bacterium_Marseille_Q3528",0.000884145522445192,0,0,0.00101972864018287,0.00028959631422523,0,0,0,0,0,0,0,0,0,0,0,0
"Dysosmobacter_sp_BX15",0.00138909881033394,0.00178621903819144,0,0,0.00194818334124608,0.000427477663522093,0,0.000306853129487641,0.0212678071409946,0,0.00220755666441551,0,0.022882889809693,0.0319461755695471,9.94000320030862e-05,0,0.205698365954374
"Coprobacter_fastidiosus",0,0,0,0,0.000344916928850382,0.014679090404464,0,0,0.00799236673424192,0,0,0,0,0,0,0,0.00660662555535057
"Coprococcus_catus",0.0171422173709752,0,0,0.000897424894570848,0.000103829753586821,0,0,0,0,0,0,0,0,0,0,0.00150862669507318,0
"Butyricicoccus_sp_AM29_23AC",0.00283707942278254,0.00164230231592802,0,0,0,0,0,0,0.0047717650594208,0,0.000863194586055807,0,0.00101314342903482,0,0,0.00524650373173018,0.0012284344727674
"Dorea_sp_AF24_7LB",0,0.00267236094743606,0,0,0,0,0,0.000644618478937061,0,0,0,0,0,0,0,0,3.26169814833263e-06
"GGB2982_SGB3964",0.0007460510271805,0.000384227895994064,0,0,8.00152537273954e-05,0,0,0,0.000167109331437242,0,0.000315163883986453,0,0,0.000693441693398661,5.0476860671858e-05,0,0.00257146125611099
"Coprococcus_SGB4669",0,0,0,0,0,0,0,0,0,0,0,0.000635450127066538,0,0.000215696400044891,0,0,8.38840720468072e-05
"Faecalibacterium_SGB15346",0.00147680547297684,0.0017546648641214,0,0.279613455779776,0.0389462565850069,0.00100893660800573,7.72341254741515e-05,0.00043547512711171,0.00669044773388197,0.00010976077082447,0.0340053792093349,0.000661702429062677,7.13978983836818e-05,0.0178230387310164,0.00335692366759633,0.000209892589801217,0.032824967580597
