"","SRR13836088","SRR13836076","SRR13836083","SRR13836070","SRR13836086","SRR13836068","SRR13836077","SRR13836099","SRR13836098","SRR13836152","SRR13836178","SRR13836143","SRR13836172","SRR13836139"
"Alistipes_onderdonkii",0.000115809297405862,0.0159690303787538,0.67871828075024,0.0330104809861834,0.457255646088197,0.000149239186757043,0.154497953365936,0.0122482759322425,0.00787764159350073,0,0.0351888368127649,0.00199865964256005,0.27854505104245,0.000421583003812762
"GGB80140_SGB15224",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae_bacterium_Marseille_Q4143",0,0,0,0.00013695689726121,0.000204632687596373,0.00042915519251887,0,0.00620570467810331,0,0,0,0,1.59513300358595e-05,0.000569436971013848
"Parasutterella_SGB9260",0,0,0,0,0,0.00253166023473684,0,0,0,0.0152343978311756,6.39177772643668e-05,0.0957444636499381,0,0.000113776645727331
"GGB33469_SGB15236",0,0,0.0152395158050782,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter_bilis",0.00120830472110418,0,0,0,0.000167716968518851,0,0.0036763346646232,0,0,0,0,0,0,0.000468204540167971
"GGB79734_SGB15291",0.00160112225980656,0,0.00241963448812118,0.000361245872048391,0.00523175931029884,0.000813738846823413,0,0,0,0.127806122367671,0.00049842211725579,0.0123947125335613,0.00131249174444702,0.0134438891191625
"Hydrogenoanaerobacterium_saccharovorans",0.00093637835423369,0,0,4.59060170513714e-05,0.00417020324064855,0.00233049933979333,0.00433257265294765,0.0112063770307151,0,0,0.0016382473522697,0,0.00629217846416892,0
"Desulfovibrio_piger",0,0,0,0.0274965947353192,0,0,0,0,0.000302857829934042,0,0,0,0,0
"Blautia_luti",0,0,0,0,0.00194915559279238,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_ER4",0.26791244973528,1.09926052325412,0.130915889223118,0.809235175865258,0.242110515948674,0.0863897105778131,0.000432480898116034,0.06619034897422,0.220432492572676,0,0.302129651817343,0.12855916706528,0.155979039040975,0.217406768738455
"Clostridiaceae_bacterium_Marseille_Q4145",0,0,0,0,0.000120887698174699,0,0,0,0,0,0,0,0,0
"Clostridiales_Family_XIII_bacterium_BX16",0.00105739446974734,0,0.00059389358931474,0.000378211136644365,0,0.00154885332630915,0.00070334586998427,0,0,0,0,0.00102008315595703,0,0.002453072412565
"GGB4578_SGB6328",0,0,0,0,0,0,0,0,0,0,0,0.000433552305762292,0.0115011749754814,0
"GGB9713_SGB15249",0.0587614011681002,0,0.139273311090037,0.000522993078127015,0,0.268933623505961,0,0,0,0,6.87169064350662e-05,0.124176229852704,0.0334150979320497,0
"Klebsiella_pneumoniae",0.0450013187107821,0.011319882166598,0.161906378590846,0.000650650237915994,0.000228334191015375,0,0,0.0245999371297256,0.00524746858900697,0,0,0.00401881861400861,0,0
"GGB9602_SGB15028",0,0,0,0,0,0,0,0,0,0,0,0.0029304640576034,0.00209541408322351,0
"Oscillospiraceae_unclassified_SGB15256",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_AF02_12",0.0159017666030858,0.00077094263656786,0,0.000163389906611813,0,0,0,0,0,0.0371912094598165,0,0.000322078778458392,0,0.00122247607025101
"GGB9602_SGB15031",0,0,0,0,0,0,0,0,0,0,0,0.0217161235781759,0.0253254955326308,0.00415739960437341
"Waltera_intestinalis",0.0189657027027196,0.0125216491318577,0.0147564670407918,0.00786907531481683,0.0851372919402423,0.0211152163250256,0.0601876317395801,0.0103948286328176,0.107627019304363,0.19793503157705,0.0126848008638907,0.0249925783764052,0.0300765953591195,0.0585397692538007
"Dorea_sp_AF36_15AT",0,0,0,0.000210625038047771,0,0.000508433996248519,0,0.00194776579804354,0,0,0,0,0,0
"Bilophila_wadsworthia",0.035515685899142,0.00477533041644902,0.00699275448876121,0.0756088815157264,0.0242225163971956,0.0103611744444184,0.0357831479234722,0.0282761624946221,0.0032899433611551,0.0152315405929832,0.000466743346103042,0.0246688719685968,0.00567510347860741,0.00918124921741047
"GGB9677_SGB15180",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romboutsia_timonensis",0.00319952850087427,0.00670970756579879,0.00148999284304346,0.0010686646282948,0.00256810804455957,0.00250088962195757,0.000188071296295079,3.12291076356295e-05,0.000500488113199492,0,0,0.00580841125851441,0.00110546012933557,0.00779306922566844
"GGB9559_SGB14969",0.00031068766414533,0,0,0,0,0,0,0.000991161212931148,0,0,0,0,0,0
"Clostridium_SGB4909",0,0,0,0,0,0,0,0,0.105812846658285,0,0,0,0.000435550119404251,0
"Clostridium_SGB4751",0.000467546298250779,0,0,0.000488075832423053,5.15963193090506e-05,0.000467822029109298,0,0,0,0.0051532048701009,1.30290336124581e-05,0,0,0
"Lachnospiraceae_bacterium_Marseille_Q4251",0.000116816328934608,0,0,0,0.00184993550881591,0,0,0,0.00375710019681244,0.00559230607981533,0,0,0.000242131416654486,8.58796810092981e-05
